Key,Value
覆盖存档,覆蓋存檔
取消操作,取消操作
警告,警告
粘贴警告1,若目標槽位 {0} 已有存檔
粘贴警告2,貼上操作將 <color=red>永久覆蓋</color>該存檔。
粘贴警告3,此操作不可撤銷！
复制,複製
取消,取消
粘贴,貼上
额外存档槽位数量,額外存檔槽位數量
